"Код заказа","Клиент","Сотрудник","Дата размещения","Дата назначения","Дата исполнения","Доставка","Стоимость доставки","Получатель","Адрес получателя","Город получателя","Область получателя","Индекс получателя","Страна получателя"
10248,"Wartian Herkku","Кротов, Андрей",04-07-1996,01-08-1996,16-07-1996,"Почта","32,38р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10249,"Toms Spezialitaten","Акбаев, Иван",05-07-1996,16-08-1996,10-07-1996,"Ространс","11,61р.","Toms Spezialitaten","Luisenstr. 48","Мюнстер",,"44087","Германия"
10250,"Hanari Carnes","Воронова, Дарья",08-07-1996,05-08-1996,12-07-1996,"Почта","65,83р.","Hanari Carnes","Rua do Paco, 67","Рио-де-Жанейро","RJ","05454-876","Бразилия"
10251,"Victuailles en stock","Бабкина, Ольга",08-07-1996,05-08-1996,15-07-1996,"Ространс","41,34р.","Victuailles en stock","2, rue du Commerce","Лион",,"69004","Франция"
10252,"Supremes delices","Воронова, Дарья",09-07-1996,06-08-1996,11-07-1996,"Почта","51,30р.","Supremes delices","Boulevard Tirou, 255","Шарлеруа",,"B-6000","Бельгия"
10253,"Hanari Carnes","Бабкина, Ольга",10-07-1996,24-07-1996,16-07-1996,"Почта","58,17р.","Hanari Carnes","Rua do Paco, 67","Рио-де-Жанейро","RJ","05454-876","Бразилия"
10254,"Chop-suey Chinese","Кротов, Андрей",11-07-1996,08-08-1996,23-07-1996,"Почта","22,98р.","Chop-suey Chinese","Hauptstr. 31","Берн",,"3012","Швейцария"
10255,"Richter Supermarkt","Ясенева, Инна",12-07-1996,09-08-1996,15-07-1996,"Иное","148,33р.","Richter Supermarkt","Starenweg 5","Женева",,"1204","Швейцария"
10256,"Wellington Importadora","Бабкина, Ольга",15-07-1996,12-08-1996,17-07-1996,"Почта","13,97р.","Wellington Importadora","Rua do Mercado, 12","Ресенде","SP","08737-363","Бразилия"
10257,"HILARION-Abastos","Воронова, Дарья",16-07-1996,13-08-1996,22-07-1996,"Иное","81,91р.","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10258,"Ernst Handel","Белова, Мария",17-07-1996,14-08-1996,23-07-1996,"Ространс","140,51р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10259,"Centro comercial Moctezuma","Воронова, Дарья",18-07-1996,15-08-1996,25-07-1996,"Иное","3,25р.","Centro comercial Moctezuma","Sierras de Granada 9993","Мехико",,"05022","Мексика"
10260,"Ottilies Kaseladen","Воронова, Дарья",19-07-1996,16-08-1996,29-07-1996,"Ространс","55,09р.","Ottilies Kaseladen","Mehrheimerstr. 369","Кельн",,"50739","Германия"
